CustomerID,Name,Gender,Age,Job,LoginDate,LastUsed,Contact
CU1,Arya Nair,Male,26,Teachers,13-08-2021,23-10-2021,7850281541
CU2,Gopal Naidu,Female,21,Delivery,06-02-2014,19-06-2014,8256584331
CU3,Ritu Ghosh,Male,49,Teachers,21-12-2019,06-06-2020,9090505726
CU4,Nisha Malhotra,Male,24,Private Employee,06-11-2019,29-01-2020,8397881035
CU5,Saanvi Khanna,Male,48,Tourists and Travelers,13-08-2023,28-03-2024,9155172962
CU6,Keshav Patel,Female,42,Private Employee,08-04-2017,06-12-2017,6956911046
CU7,Aditi Desai,Male,75,Teachers,05-03-2021,24-03-2021,8511362025
CU8,Bhavya Srinivasan,Male,43,Government Employee,28-06-2020,31-12-2020,6687187319
CU9,Sameer Bhatnagar,Male,36,Student,01-02-2020,21-02-2020,6313357447
CU10,Krishna Dewan,Female,45,Private Employee,11-04-2021,10-01-2022,9493184458
CU11,Ritika Malhotra,Male,83,Retailer,03-07-2015,01-03-2016,6280009749
CU12,Kanika Bhattacharya,Male,19,Teachers,02-08-2014,22-01-2015,9767014625
CU13,Nagesh Khanna,Male,19,Government Employee,07-07-2015,28-12-2015,7341944256
CU14,Saraswati Sharma,Male,36,Delivery,28-08-2013,18-09-2013,9391601475
CU15,Amit Pillai,Female,46,Student,20-04-2020,02-10-2020,7058175287
CU16,Anup Nambiar,Male,19,Tourists and Travelers,13-06-2016,20-01-2017,8719300762
CU17,Rakesh Menon,Female,20,Student,23-06-2018,15-09-2018,7621215936
CU18,Anita Rao,Female,33,Delivery,22-03-2023,05-08-2023,8128423644
CU19,Ridhima Sanyal,Female,19,Delivery,08-07-2018,07-12-2018,8364005417
CU20,Shreya Bhatt,Male,21,Delivery,13-09-2014,14-06-2015,7486780089
CU21,Ashok Bhatnagar,Female,19,Delivery,13-10-2016,24-11-2016,8268153934
CU22,Savitri Gupta,Male,24,Teachers,20-01-2021,26-10-2021,7939564580
CU23,Neeraj Saxena,Female,37,Student,20-08-2019,21-05-2020,7003778498
CU24,Neha Sanyal,Female,28,Tourists and Travelers,13-09-2017,13-06-2018,6833512511
CU25,Aarohi Lal,Female,20,Private Employee,07-11-2013,11-10-2014,9447057446
CU26,Narayan Dev,Female,46,Business,17-11-2020,03-06-2021,9192517974
CU27,Charan Singhania,Female,22,Retailer,12-01-2014,27-08-2014,8926448486
CU28,Saurav Joshi,Female,45,Student,22-01-2017,14-10-2017,7135517876
CU29,Anaya Srinivasan,Female,40,Business,02-03-2020,30-12-2020,7660937191
CU30,Raghav Pandey,Female,36,Student,28-10-2023,04-05-2024,7625769640
CU31,Sonal Kapoor,Male,27,Delivery,18-03-2020,31-03-2020,9974775108
CU32,Ganga Nambiar,Male,18,Tourists and Travelers,31-10-2019,22-12-2019,8072204777
CU33,Nandini Acharya,Female,23,Business,17-12-2023,11-04-2024,7840346387
CU34,Kunal Mukherjee,Female,45,Government Employee,30-11-2020,20-09-2021,9159423596
CU35,Bhaskar Shetty,Female,45,Student,14-11-2016,11-01-2017,7714670717
CU36,Bhagwan Mehta,Male,48,Private Employee,15-09-2020,08-07-2021,8280489078
CU37,Gaurav Saxena,Female,22,Retailer,07-09-2020,19-12-2020,6552787259
CU38,Mohan Mishra,Male,22,Business,23-01-2020,19-10-2020,8644590514
CU39,Omkar Sanyal,Male,31,Tourists and Travelers,20-08-2022,14-04-2023,6892223254
CU40,Bharat Dewan,Male,25,Government Employee,02-08-2015,03-09-2015,6233892466
CU41,Siddhi Chatterjee,Male,40,Government Employee,03-08-2015,15-03-2016,6113092324
CU42,Aryan Srinivasan,Male,49,Student,10-01-2022,02-06-2022,9177581244
CU43,Riya Shastri,Female,84,Teachers,23-09-2021,04-11-2021,8097023607
CU44,Ishita Bhatia,Female,88,Government Employee,02-09-2018,02-02-2019,6896653470
CU45,Rohan Menon,Female,25,Teachers,06-09-2021,02-12-2021,8026565803
CU46,Varun Shastri,Female,90,Retailer,09-04-2016,21-04-2016,6062793539
CU47,Gopal Rathore,Female,23,Retailer,13-01-2014,06-03-2014,7031056808
CU48,Indira Pandit,Male,39,Tourists and Travelers,02-06-2017,04-10-2017,9868083013
CU49,Tanya Jain,Female,22,Delivery,01-06-2014,21-10-2014,8169252995
CU50,Kabir Naidu,Female,37,Government Employee,15-05-2023,30-03-2024,7945522266
CU51,Urmila Saxena,Male,20,Student,29-06-2021,01-06-2022,9414562528
CU52,Savitri Bedi,Female,21,Delivery,02-09-2020,05-06-2021,8122210374
CU53,Lata Bedi,Male,20,Private Employee,28-02-2022,06-08-2022,7248269093
CU54,Ishita Acharya,Female,28,Student,05-07-2019,22-10-2019,9638703562
CU55,Siddhi Ghosh,Male,45,Delivery,02-09-2020,12-06-2021,7857677053
CU56,Sandhya Rathore,Female,18,Delivery,29-11-2023,27-02-2024,9646421957
CU57,Ridhima Singh,Female,36,Government Employee,13-03-2023,18-12-2023,7154285758
CU58,Arya Choudhary,Male,38,Business,12-02-2023,18-01-2024,6997324624
CU59,Amit Pillai,Male,39,Tourists and Travelers,09-09-2021,18-10-2021,8180011806
CU60,Rohan Pathak,Male,19,Retailer,14-03-2013,21-08-2013,8850471125
CU61,Ganga Aggarwal,Male,81,Tourists and Travelers,17-11-2017,26-11-2017,7467429012
CU62,Padma Chaturvedi,Male,21,Business,31-01-2015,30-06-2015,6072414402
CU63,Shyam Lal,Male,43,Student,23-02-2019,11-09-2019,8254058737
CU64,Aditya Iyer,Male,20,Private Employee,02-04-2021,02-07-2021,8225711344
